city_id,city,country_id,last_update_date,last_update_timestamp
1,A Coruña (La Coruña),87,15-02-2006,04:45:25
2,Abha,82,15-02-2006,04:45:25
3,Abu Dhabi,101,15-02-2006,04:45:25
4,Acuña,60,15-02-2006,04:45:25
5,Adana,97,15-02-2006,04:45:25
6,Addis Abeba,31,15-02-2006,04:45:25
7,Aden,107,15-02-2006,04:45:25
8,Adoni,44,15-02-2006,04:45:25
9,Ahmadnagar,44,15-02-2006,04:45:25
10,Akishima,50,15-02-2006,04:45:25
11,Akron,103,15-02-2006,04:45:25
12,al-Ayn,101,15-02-2006,04:45:25
13,al-Hawiya,82,15-02-2006,04:45:25
14,al-Manama,11,15-02-2006,04:45:25
15,al-Qadarif,89,15-02-2006,04:45:25
16,al-Qatif,82,15-02-2006,04:45:25
17,Alessandria,49,15-02-2006,04:45:25
18,Allappuzha (Alleppey),44,15-02-2006,04:45:25
19,Allende,60,15-02-2006,04:45:25
20,Almirante Brown,6,15-02-2006,04:45:25
21,Alvorada,15,15-02-2006,04:45:25
22,Ambattur,44,15-02-2006,04:45:25
23,Amersfoort,67,15-02-2006,04:45:25
24,Amroha,44,15-02-2006,04:45:25
25,Angra dos Reis,15,15-02-2006,04:45:25
26,Anápolis,15,15-02-2006,04:45:25
27,Antofagasta,22,15-02-2006,04:45:25
28,Aparecida de Goiânia,15,15-02-2006,04:45:25
29,Apeldoorn,67,15-02-2006,04:45:25
30,Araçatuba,15,15-02-2006,04:45:25
31,Arak,46,15-02-2006,04:45:25
32,Arecibo,77,15-02-2006,04:45:25
33,Arlington,103,15-02-2006,04:45:25
34,Ashdod,48,15-02-2006,04:45:25
35,Ashgabat,98,15-02-2006,04:45:25
36,Ashqelon,48,15-02-2006,04:45:25
37,Asunción,73,15-02-2006,04:45:25
38,Athenai,39,15-02-2006,04:45:25
39,Atšinsk,80,15-02-2006,04:45:25
40,Atlixco,60,15-02-2006,04:45:25
41,Augusta-Richmond County,103,15-02-2006,04:45:25
42,Aurora,103,15-02-2006,04:45:25
43,Avellaneda,6,15-02-2006,04:45:25
44,Bagé,15,15-02-2006,04:45:25
45,Bahía Blanca,6,15-02-2006,04:45:25
46,Baicheng,23,15-02-2006,04:45:25
47,Baiyin,23,15-02-2006,04:45:25
48,Baku,10,15-02-2006,04:45:25
49,Balašiha,80,15-02-2006,04:45:25
50,Balikesir,97,15-02-2006,04:45:25
51,Balurghat,44,15-02-2006,04:45:25
52,Bamenda,19,15-02-2006,04:45:25
53,Bandar Seri Begawan,16,15-02-2006,04:45:25
54,Banjul,37,15-02-2006,04:45:25
55,Barcelona,104,15-02-2006,04:45:25
56,Basel,91,15-02-2006,04:45:25
57,Bat Yam,48,15-02-2006,04:45:25
58,Batman,97,15-02-2006,04:45:25
59,Batna,2,15-02-2006,04:45:25
60,Battambang,18,15-02-2006,04:45:25
61,Baybay,75,15-02-2006,04:45:25
62,Bayugan,75,15-02-2006,04:45:25
63,Béchar,2,15-02-2006,04:45:25
64,Beira,63,15-02-2006,04:45:25
65,Bellevue,103,15-02-2006,04:45:25
66,Belém,15,15-02-2006,04:45:25
67,Benguela,4,15-02-2006,04:45:25
68,Beni-Mellal,62,15-02-2006,04:45:25
69,Benin City,69,15-02-2006,04:45:25
70,Bergamo,49,15-02-2006,04:45:25
71,Berhampore (Baharampur),44,15-02-2006,04:45:25
72,Bern,91,15-02-2006,04:45:25
73,Bhavnagar,44,15-02-2006,04:45:25
74,Bhilwara,44,15-02-2006,04:45:25
75,Bhimavaram,44,15-02-2006,04:45:25
76,Bhopal,44,15-02-2006,04:45:25
77,Bhusawal,44,15-02-2006,04:45:25
78,Bijapur,44,15-02-2006,04:45:25
79,Bilbays,29,15-02-2006,04:45:25
80,Binzhou,23,15-02-2006,04:45:25
81,Birgunj,66,15-02-2006,04:45:25
82,Bislig,75,15-02-2006,04:45:25
83,Blumenau,15,15-02-2006,04:45:25
84,Boa Vista,15,15-02-2006,04:45:25
85,Boksburg,85,15-02-2006,04:45:25
86,Botosani,78,15-02-2006,04:45:25
87,Botshabelo,85,15-02-2006,04:45:25
88,Bradford,102,15-02-2006,04:45:25
89,Brasília,15,15-02-2006,04:45:25
90,Bratislava,84,15-02-2006,04:45:25
91,Brescia,49,15-02-2006,04:45:25
92,Brest,34,15-02-2006,04:45:25
93,Brindisi,49,15-02-2006,04:45:25
94,Brockton,103,15-02-2006,04:45:25
95,Bucuresti,78,15-02-2006,04:45:25
96,Buenaventura,24,15-02-2006,04:45:25
97,Bydgoszcz,76,15-02-2006,04:45:25
98,Cabuyao,75,15-02-2006,04:45:25
99,Callao,74,15-02-2006,04:45:25
100,Cam Ranh,105,15-02-2006,04:45:25
101,Cape Coral,103,15-02-2006,04:45:25
102,Caracas,104,15-02-2006,04:45:25
103,Carmen,60,15-02-2006,04:45:25
104,Cavite,75,15-02-2006,04:45:25
105,Cayenne,35,15-02-2006,04:45:25
106,Celaya,60,15-02-2006,04:45:25
107,Chandrapur,44,15-02-2006,04:45:25
108,Changhwa,92,15-02-2006,04:45:25
109,Changzhou,23,15-02-2006,04:45:25
110,Chapra,44,15-02-2006,04:45:25
111,Charlotte Amalie,106,15-02-2006,04:45:25
112,Chatsworth,85,15-02-2006,04:45:25
113,Cheju,86,15-02-2006,04:45:25
114,Chiayi,92,15-02-2006,04:45:25
115,Chisinau,61,15-02-2006,04:45:25
116,Chungho,92,15-02-2006,04:45:25
117,Cianjur,45,15-02-2006,04:45:25
118,Ciomas,45,15-02-2006,04:45:25
119,Ciparay,45,15-02-2006,04:45:25
